week_no,published,rank,artist,title,in_june16_100,source_url
180,2017-02-24,3,Mathew Lee Cothran,Farrah Abraham,yes,https://stereogum.com/1926495/the-5-best-songs-of-the-week-180/
180,2017-02-24,4,Future,Mask Off,yes,https://stereogum.com/1926495/the-5-best-songs-of-the-week-180/
180,2017-02-24,5,Slingshot Dakota,Grudge,yes,https://stereogum.com/1926495/the-5-best-songs-of-the-week-180/
179,2017-02-17,1,Mount Eerie,Ravens,yes,https://stereogum.com/1925482/the-5-best-songs-of-the-week-179/
179,2017-02-17,2,PWR BTTM,Big Beautiful Day,yes,https://stereogum.com/1925482/the-5-best-songs-of-the-week-179/
179,2017-02-17,3,Sorority Noise,A Better Sun,yes,https://stereogum.com/1925482/the-5-best-songs-of-the-week-179/
179,2017-02-17,4,The Jesus & Mary Chain,Always Sad,yes,https://stereogum.com/1925482/the-5-best-songs-of-the-week-179/
179,2017-02-17,5,Half Waif,Night Heat,yes,https://stereogum.com/1925482/the-5-best-songs-of-the-week-179/
178,2017-02-10,1,Vince Staples,BagBak,yes,https://stereogum.com/1924071/the-5-best-songs-of-the-week-178/
178,2017-02-10,2,Charly Bliss,Glitter,yes,https://stereogum.com/1924071/the-5-best-songs-of-the-week-178/
178,2017-02-10,3,Danny Brown & Paul White,Accelerator,yes,https://stereogum.com/1924071/the-5-best-songs-of-the-week-178/
178,2017-02-10,4,Jeremih,I Think Of You (Feat. Chris Brown & Big Sean),yes,https://stereogum.com/1924071/the-5-best-songs-of-the-week-178/
178,2017-02-10,5,Lydia Ainsworth,Afterglow,yes,https://stereogum.com/1924071/the-5-best-songs-of-the-week-178/
177,2017-02-03,1,Half Waif,Frost Burn,yes,https://stereogum.com/1922914/the-5-best-songs-of-the-week-177/
177,2017-02-03,2,The Magnetic Fields,'83 Foxx And I,yes,https://stereogum.com/1922914/the-5-best-songs-of-the-week-177/
177,2017-02-03,3,Tara Jane O'Neil,Sand,yes,https://stereogum.com/1922914/the-5-best-songs-of-the-week-177/
177,2017-02-03,4,Jay Som,1 Billion Dogs,yes,https://stereogum.com/1922914/the-5-best-songs-of-the-week-177/
177,2017-02-03,5,Pallbearer,Thorns,yes,https://stereogum.com/1922914/the-5-best-songs-of-the-week-177/
176,2017-01-27,1,Mount Eerie,Real Death,no,https://stereogum.com/1921875/the-5-best-songs-of-the-week-176/
176,2017-01-27,2,Father John Misty,Pure Comedy,no,https://stereogum.com/1921875/the-5-best-songs-of-the-week-176/
176,2017-01-27,3,La Neve,American Sounds,no,https://stereogum.com/1921875/the-5-best-songs-of-the-week-176/
176,2017-01-27,4,PWR BTTM,Vacation,no,https://stereogum.com/1921875/the-5-best-songs-of-the-week-176/
176,2017-01-27,5,Angel Olsen,Fly On Your Wall,no,https://stereogum.com/1921875/the-5-best-songs-of-the-week-176/
